product_key,product_name,brand,color,unit_cost_usd,unit_price_usd,subcategory_key,subcategory,category_key,category
PROD1101,MacBook Pro 14",Apple,Silver,1499.00,1999.00,SC001,Laptops,CAT01,Electronics
PROD1102,iPhone 15,Apple,Space Gray,699.00,899.00,SC002,Smartphones,CAT01,Electronics
PROD1103,Air Max 270,Nike,Black,75.00,129.99,SC006,Sneakers,CAT02,Footwear
PROD1104,Cotton T-Shirt,Hanes,White,5.50,12.99,SC004,T-Shirts,CAT03,Apparel
PROD1105,Kindle Paperwhite,Amazon,Black,89.99,129.99,SC010,E-Readers,CAT04,Books
PROD1106,Galaxy Tab S8,Samsung,Graphite,499.00,699.00,SC003,Tablets,CAT01,Electronics
PROD1107,Classic Jeans,Levi's,Blue,28.00,59.99,SC005,Jeans,CAT03,Apparel
PROD1108,Bluetooth Speaker,JBL,Red,45.00,79.99,SC007,Audio,CAT01,Electronics
PROD1109,Ceramic Vase,HomeGoods,White,18.50,34.99,SC009,Decor,CAT05,Home
PROD1110,Running Shorts,Adidas,Blue,12.75,24.99,SC008,Activewear,CAT03,Apparel
PROD1111,Desk Lamp,IKEA,Black,22.30,39.99,SC009,Decor,CAT05,Home
PROD1112,Python Cookbook,O'Reilly,Multicolor,30.00,49.99,SC011,Programming,CAT04,Books
PROD1113,Yoga Mat,Lululemon,Green,25.00,52.00,SC008,Activewear,CAT03,Apparel
PROD1114,Wireless Earbuds,Sony,White,78.00,129.99,SC007,Audio,CAT01,Electronics
PROD1115,Office Chair,Staples,Black,120.00,229.99,SC012,Furniture,CAT05,Home
PROD1116,Hoodie Sweatshirt,Champion,Gray,20.25,44.99,SC004,T-Shirts,CAT03,Apparel
PROD1117,External SSD,Samsung,Silver,65.00,99.99,SC001,Laptops,CAT01,Electronics
PROD1118,Coffee Table,West Elm,Walnut,180.00,349.99,SC012,Furniture,CAT05,Home
PROD1119,Android Development,Addison-Wesley,Blue,45.00,74.99,SC011,Programming,CAT04,Books
PROD1120,Gaming Mouse,Logitech,Black,38.50,69.99,SC013,Accessories,CAT01,Electronics
PROD1121,Winter Jacket,The North Face,Navy,85.00,149.99,SC014,Outerwear,CAT03,Apparel
PROD1122,Blender,KitchenAid,Red,55.00,99.99,SC015,Appliances,CAT05,Home
PROD1123,Notebook Set,Moleskine,Black,22.00,39.99,SC016,Stationery,CAT06,Office
PROD1124,Running Shoes,Brooks,Blue,65.00,119.99,SC006,Sneakers,CAT02,Footwear
PROD1125,Desk Organizer,Umbra,Silver,15.75,29.99,SC017,Organization,CAT06,Office
PROD1126,Smart Watch,Garmin,Black,150.00,249.99,SC018,Wearables,CAT01,Electronics
PROD1127,Throw Pillow,Crate&Barrel,Teal,18.99,34.99,SC009,Decor,CAT05,Home
PROD1128,Backpack,Jansport,Blue,35.00,59.99,SC019,Bags,CAT07,Accessories
PROD1129,Cookware Set,Calphalon,Silver,220.00,399.99,SC020,Kitchenware,CAT05,Home
PROD1130,Graphic Novel,DC Comics,Multicolor,12.50,24.99,SC021,Comics,CAT04,Books
